gap_area,current_state,required_work,phase,priority,blocked_by,exit_criteria
Dataset-to-workload conversion,"Promoted JSONL prompts/gold/KB exist, but not converted into inference workload records","Create generated workload JSONL with prompt_id, vertical, task_type, output_format, gold links, evidence IDs, context_mode, retrieval_mode","2B","high","Schema decision","A no_context workload and gold_context workload can be generated deterministically"
Context assembly,"EDA estimates context pressure, but no prompt assembly layer exists","Implement no_context and gold_context prompt assembly with context token budgets","2B","high","Dataset-to-workload conversion","Assembled prompts preserve citations and pass schema validation"
KB normalization,"Vertical KB rows exist with different fields","Normalize KB into shared chunk/citation records while preserving vertical metadata","2B","high","Context schema","All KB rows can be loaded through one typed interface"
Retrieval modes,"Research AI corpus exists, but no retrieval index or retrieval runner exists","Implement bm25 first, then dense, hybrid, reranked_hybrid, contextual_compression","2B","high","KB normalization","Retrieval results include ranked evidence IDs and scores"
Retrieval evaluation,"Gold records include evidence IDs, but no recall evaluator exists","Implement recall@k, required evidence coverage, citation recall, and unused-context diagnostics","2B","high","Retrieval results","Evaluation report can score retrieval before generation"
Groundedness evaluation,"Structured JSON validity exists; groundedness does not","Implement must_include, must_not_include, citation grounding, and domain-boundary checks","2B","high","Generation trace schema","Generation records can be scored against gold/evidence"
Bounded agentic mode,"Planned but not implemented","Define max steps, allowed tools, no side effects, per-step accounting, and replay logs","2B","medium","Context/eval schemas","Agentic fixtures can run deterministically without external side effects"
Result schema extension,"BenchmarkResult has latency/token/cost fields only","Add context_tokens, context_mode, retrieval_mode, queue_time_ms, prefill_ms, decode_ms, batch_size, concurrency, telemetry_run_id, backend_metrics_id","2C","high","Phase 2B schema","CSV/JSONL output carries inference and context metadata"
Run manifest,"System metadata exists, but no full GPU/backend run manifest exists","Record backend version, model, dtype, quantization, max context, parallelism, hardware, driver, CUDA, container, command","2C","high","Backend selection","Every run has reproducible manifest JSON"
GPU telemetry,"System info captures CUDA availability, not live telemetry","Add nvidia-smi/DCGM/NVML sampling for utilization, memory, power, temperature, clocks, throttling","2C","high","GPU environment","Telemetry time series aligns with request timestamps"
vLLM backend metrics,"OpenAI-compatible client works, but backend metrics are not captured","Capture scheduler, queue, batch, prefill, decode, KV cache, PagedAttention, prefix cache metrics","2C","high","vLLM server metrics access","vLLM run has backend metrics snapshot/time series"
SGLang backend metrics,"No SGLang runner or metrics adapter exists","Add comparable SGLang client/config and metrics ingestion","2C","medium","vLLM baseline and SGLang environment","SGLang results use the same schema as vLLM"
MFU estimate,"No MFU estimate exists","Use parameter count, dtype, hardware peak FLOPs, prompt/decode throughput, and wall-clock windows","2C","medium","Telemetry and backend token throughput","Reports include estimated_MFU with assumptions"
Prefill/decode disaggregation,"TTFT/TPOT exist, but queue/prefill/decode are not separated","Capture server timing events or backend metrics for queue, prefill, first decode, decode end","2C","high","Backend metrics access","Reports show queue_ms, prefill_ms, decode_ms separately"
Batching and continuous batching,"Client concurrency exists, server batch composition does not","Run concurrency grid and capture scheduler iteration batch sizes/running sequences","2C","high","Backend metrics access","Continuous batching behavior can be plotted by time"
Variable-length request behavior,"EDA length buckets exist, but no mixed/bucketed run design exists","Create stratified short/long/mixed/adversarial subsets and compare latency tails","2C","medium","Dataset-to-workload conversion","Variable-length stress report identifies tail-latency drivers"
KV cache and memory pressure,"KV cache estimate helper exists, live KV metrics are missing","Run context/concurrency sweeps with KV block usage, evictions, memory headroom, and OOM stop rules","2C","high","GPU telemetry and backend metrics","Memory pressure threshold and bottleneck labels are documented"
Prefix caching and prefix-aware routing,"Shared-prefix synthetic workload exists, but no backend prefix metrics exist","Run prefix cache A/B and prefix-aware ordering/routing tests","2C","medium","Backend prefix metrics","Prefix hit rate and TTFT effect are measured"
Model sharding strategy,"Model configs exist; sharding configs do not","Plan tensor, pipeline, data, and expert parallel configs with memory estimates and scaling metrics","2C","medium","GPU hardware selection","Sharding matrix has expected memory, throughput, and risk"
vLLM vs SGLang comparison,"vLLM sample artifacts exist; no SGLang comparison exists","Run equivalent context/concurrency subsets on both backends after metrics parity","2C","medium","SGLang setup","Comparison report uses identical workloads and metric schema"
