vertical,stage_size,ablation_mode,measurement,dense_backend,vector_store,candidate_recall_at_20,candidate_recall_at_50,final_recall_at_5,mrr,slo_status,primary_blocker,recommended_next_action,record_count,query_rewrite_count
airline,250,prompt_plus_metadata,after_repair_staged,qdrant_vector,qdrant_local,0.746667,0.789333,0.762667,0.900533,FAILED,candidate_retrieval_top20,"Improve airline query enrichment, chunk metadata, and candidate recall.",250,250
airline,500,prompt_plus_metadata,after_repair_staged,qdrant_vector,qdrant_local,0.744,0.786333,0.759,0.901467,FAILED,candidate_retrieval_top20,"Improve airline query enrichment, chunk metadata, and candidate recall.",500,500
finance,250,prompt_plus_metadata,after_repair_staged,qdrant_vector,qdrant_local,0.462,0.82,0.212,0.1184,FAILED,candidate_retrieval_top20,Materialize non-ID period/metric/filing metadata and rerun Qdrant strict validation.,250,250
finance,500,prompt_plus_metadata,after_repair_staged,qdrant_vector,qdrant_local,0.47,0.805,0.216,0.119467,FAILED,candidate_retrieval_top20,Materialize non-ID period/metric/filing metadata and rerun Qdrant strict validation.,500,500
healthcare_admin,250,prompt_plus_metadata,after_repair_staged,qdrant_vector,qdrant_local,0.838,0.866667,0.838,0.948667,FAILED,candidate_retrieval_top20,"Improve healthcare_admin query enrichment, chunk metadata, and candidate recall.",250,250
healthcare_admin,500,prompt_plus_metadata,after_repair_staged,qdrant_vector,qdrant_local,0.84,0.868333,0.84,0.949667,FAILED,candidate_retrieval_top20,"Improve healthcare_admin query enrichment, chunk metadata, and candidate recall.",500,500
research_ai,250,prompt_plus_metadata,after_repair_staged,qdrant_vector,qdrant_local,1.0,1.0,0.989333,1.0,PASSED,none,Proceed to the next staged validation or inference smoke gate.,250,250
research_ai,500,prompt_plus_metadata,after_repair_staged,qdrant_vector,qdrant_local,1.0,1.0,0.989333,1.0,PASSED,none,Proceed to the next staged validation or inference smoke gate.,500,500
retail,250,prompt_plus_metadata,after_repair_staged,qdrant_vector,qdrant_local,0.91,0.972,0.386,0.378,FAILED,final_top5_selection,Tune retail final top-5 evidence selection and reranking.,250,250
retail,500,prompt_plus_metadata,after_repair_staged,qdrant_vector,qdrant_local,0.955,0.986,0.249,0.245,FAILED,final_top5_selection,Tune retail final top-5 evidence selection and reranking.,500,500
