ablation_only,backend_type,bottleneck_category,bottleneck_classes,concurrency,config_id,engine,evidence_match_rate,failed_metric_family,failed_slos,generation_contract_valid_rate,gpu_telemetry_scope,grounded_rate,json_valid_rate,mean_e2e_latency_ms,mean_total_tokens_per_second,mean_tpot_ms,mean_ttft_ms,memory_mode,model_alias,model_id,passed_slos,recommended_optimization_candidates,recommended_optimizations,requests_attempted,requests_completed,requests_failed,runtime,runtime_pass_quality_fail,safety_violation_count,slo_contract_validity,slo_evidence_match,slo_groundedness,slo_json_validity,slo_latency,slo_safety,slo_scope,slo_throughput,slo_tpot,slo_ttft,status,total_cost_usd,total_input_tokens,total_output_tokens,warning_slos,worth_optimizing
True,self_hosted_gpu,contract_validity,generation_contract_failure;mm0_expected_no_context_failure;prompt_context_formatting_issue,16,self_hosted_model3_7b_vllm_mm0_no_context_c16,vllm,0.085,contract_validity,1,0.7975,self_hosted_gpu,0.085,1.0,841.2162362475647,511.4627541486366,38.958654873397286,148.34108611219563,mm0_no_context,model3_7b,Qwen/Qwen2.5-7B-Instruct,6,generation_contract_prompt_repair,final_answer_contract_normalization;max_token_adjustment,400,400,0,vllm,True,0,FAIL,ABLATION_REPORTED,ABLATION_REPORTED,PASS,PASS,PASS,no_context_ablation,PASS,PASS,PASS,COMPLETED,0.0,156544,7426,0,False
True,self_hosted_gpu,contract_validity,concurrency_degradation;generation_contract_failure;mm0_expected_no_context_failure;prompt_context_formatting_issue,32,self_hosted_model3_7b_vllm_mm0_no_context_c32,vllm,0.09,contract_validity,1,0.7975,self_hosted_gpu,0.09,1.0,793.088607150712,543.4857972365246,37.326872095053794,121.18333486665506,mm0_no_context,model3_7b,Qwen/Qwen2.5-7B-Instruct,6,generation_contract_prompt_repair,final_answer_contract_normalization;max_token_adjustment,400,400,0,vllm,True,0,FAIL,ABLATION_REPORTED,ABLATION_REPORTED,PASS,PASS,PASS,no_context_ablation,PASS,PASS,PASS,COMPLETED,0.0,156544,7486,0,False
False,self_hosted_gpu,contract_validity;evidence_match;groundedness;safety,evidence_selection_failure;generation_contract_failure;groundedness_failure;model_capacity_or_instruction_following_issue;prompt_context_formatting_issue;safety_wording_failure,16,self_hosted_model3_7b_vllm_mm1_dense_top5_c16,vllm,0.675,contract_validity;evidence_match;groundedness;safety,4,0.8,self_hosted_gpu,0.675,1.0,1849.6933754399652,510.62201446265516,49.15577136256346,257.9015904193511,mm1_dense_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,citation_whitelist;context_compression;evidence_selector_repair;final_answer_contract_normalization;max_token_adjustment;safety_wording_cleanup;stronger_model_escalation,400,400,0,vllm,True,5,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.0,344463,13828,0,True
False,self_hosted_gpu,contract_validity;evidence_match;groundedness;safety,concurrency_degradation;evidence_selection_failure;generation_contract_failure;groundedness_failure;model_capacity_or_instruction_following_issue;prompt_context_formatting_issue;safety_wording_failure,32,self_hosted_model3_7b_vllm_mm1_dense_top5_c32,vllm,0.6775,contract_validity;evidence_match;groundedness;safety,4,0.7975,self_hosted_gpu,0.675,1.0,2680.990997085464,364.4716476648631,64.6555062434,587.9607254976872,mm1_dense_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,citation_whitelist;context_compression;evidence_selector_repair;final_answer_contract_normalization;lower_concurrency;max_token_adjustment;prefix_cache;safety_wording_cleanup;stronger_model_escalation,400,400,0,vllm,True,5,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.0,344463,13853,0,True
False,self_hosted_gpu,contract_validity;evidence_match;groundedness;safety,evidence_selection_failure;generation_contract_failure;groundedness_failure;model_capacity_or_instruction_following_issue;prompt_context_formatting_issue;safety_wording_failure,16,self_hosted_model3_7b_vllm_mm2_hybrid_top5_c16,vllm,0.6775,contract_validity;evidence_match;groundedness;safety,4,0.8,self_hosted_gpu,0.6775,1.0,1889.5804580446566,500.4327854767147,51.54082354622473,225.65055216255132,mm2_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,citation_whitelist;context_compression;evidence_selector_repair;final_answer_contract_normalization;max_token_adjustment;safety_wording_cleanup;stronger_model_escalation,400,400,0,vllm,True,4,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.0,344463,13821,0,True
False,self_hosted_gpu,contract_validity;evidence_match;groundedness;safety,concurrency_degradation;evidence_selection_failure;generation_contract_failure;groundedness_failure;model_capacity_or_instruction_following_issue;prompt_context_formatting_issue;safety_wording_failure,32,self_hosted_model3_7b_vllm_mm2_hybrid_top5_c32,vllm,0.675,contract_validity;evidence_match;groundedness;safety,4,0.8,self_hosted_gpu,0.675,1.0,2667.1797355089802,359.06941987856817,62.01778499679799,686.6787743812893,mm2_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,citation_whitelist;context_compression;evidence_selector_repair;final_answer_contract_normalization;lower_concurrency;max_token_adjustment;prefix_cache;safety_wording_cleanup;stronger_model_escalation,400,400,0,vllm,True,4,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.0,344463,13786,0,True
False,self_hosted_gpu,contract_validity;evidence_match;groundedness;safety,evidence_selection_failure;generation_contract_failure;groundedness_failure;model_capacity_or_instruction_following_issue;prompt_context_formatting_issue;safety_wording_failure,16,self_hosted_model3_7b_vllm_mm3_compressed_hybrid_top5_c16,vllm,0.6725,contract_validity;evidence_match;groundedness;safety,4,0.8,self_hosted_gpu,0.6725,1.0,1885.889254391077,502.02178340920125,50.43802149686439,257.21527746412903,mm3_compressed_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,citation_whitelist;context_compression;evidence_selector_repair;final_answer_contract_normalization;max_token_adjustment;safety_wording_cleanup;stronger_model_escalation,400,400,0,vllm,True,5,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.0,344463,13907,0,True
False,self_hosted_gpu,contract_validity;evidence_match;groundedness;safety,concurrency_degradation;evidence_selection_failure;generation_contract_failure;groundedness_failure;model_capacity_or_instruction_following_issue;prompt_context_formatting_issue;safety_wording_failure,32,self_hosted_model3_7b_vllm_mm3_compressed_hybrid_top5_c32,vllm,0.67,contract_validity;evidence_match;groundedness;safety,4,0.8,self_hosted_gpu,0.67,1.0,2853.205084661022,345.2934069873982,74.3595751977011,445.74070835486054,mm3_compressed_hybrid_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,citation_whitelist;context_compression;evidence_selector_repair;final_answer_contract_normalization;lower_concurrency;max_token_adjustment;prefix_cache;safety_wording_cleanup;stronger_model_escalation,400,400,0,vllm,True,4,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.0,344463,13929,0,True
False,self_hosted_gpu,contract_validity;evidence_match;groundedness;safety,evidence_selection_failure;generation_contract_failure;groundedness_failure;mm4_agentic_safety_trace_issue;model_capacity_or_instruction_following_issue;prompt_context_formatting_issue,16,self_hosted_model3_7b_vllm_mm4_bounded_agentic_c16,vllm,0.695,contract_validity;evidence_match;groundedness;safety,4,0.8,self_hosted_gpu,0.695,0.995,1909.2302414908772,518.9018792405857,56.515218092161895,255.05484095192514,mm4_bounded_agentic,model3_7b,Qwen/Qwen2.5-7B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,citation_whitelist;context_compression;evidence_selector_repair;final_answer_contract_normalization;max_token_adjustment;mm4_final_answer_guard;stronger_model_escalation,400,400,0,vllm,True,2,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.0,362463,12306,0,True
False,self_hosted_gpu,contract_validity;evidence_match;groundedness;safety,concurrency_degradation;evidence_selection_failure;generation_contract_failure;groundedness_failure;mm4_agentic_safety_trace_issue;model_capacity_or_instruction_following_issue;prompt_context_formatting_issue,32,self_hosted_model3_7b_vllm_mm4_bounded_agentic_c32,vllm,0.7,contract_validity;evidence_match;groundedness;safety,4,0.8,self_hosted_gpu,0.7,0.995,2802.459400087828,373.9435871280236,75.9618792126303,569.1489602770889,mm4_bounded_agentic,model3_7b,Qwen/Qwen2.5-7B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,citation_whitelist;context_compression;evidence_selector_repair;final_answer_contract_normalization;lower_concurrency;max_token_adjustment;mm4_final_answer_guard;prefix_cache;stronger_model_escalation,400,400,0,vllm,True,2,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.0,362463,12353,0,True
True,self_hosted_gpu,contract_validity,engine_specific_issue;generation_contract_failure;mm0_expected_no_context_failure;prompt_context_formatting_issue,16,self_hosted_model3_7b_sglang_mm0_no_context_c16,sglang,0.09,contract_validity,1,0.7975,self_hosted_gpu,0.09,1.0,950.4821379197529,456.56991768530037,38.16271664082231,154.62052180082537,mm0_no_context,model3_7b,Qwen/Qwen2.5-7B-Instruct,6,generation_contract_prompt_repair,final_answer_contract_normalization;max_token_adjustment,400,400,0,sglang,True,0,FAIL,ABLATION_REPORTED,ABLATION_REPORTED,PASS,PASS,PASS,no_context_ablation,PASS,PASS,PASS,COMPLETED,0.0,156544,8686,0,False
True,self_hosted_gpu,contract_validity,concurrency_degradation;engine_specific_issue;generation_contract_failure;mm0_expected_no_context_failure;prompt_context_formatting_issue,32,self_hosted_model3_7b_sglang_mm0_no_context_c32,sglang,0.0925,contract_validity,1,0.7975,self_hosted_gpu,0.0925,1.0,871.5574668708723,499.72243863976456,37.04770007699424,99.13241900852881,mm0_no_context,model3_7b,Qwen/Qwen2.5-7B-Instruct,6,generation_contract_prompt_repair,final_answer_contract_normalization;max_token_adjustment,400,400,0,sglang,True,0,FAIL,ABLATION_REPORTED,ABLATION_REPORTED,PASS,PASS,PASS,no_context_ablation,PASS,PASS,PASS,COMPLETED,0.0,156544,8650,0,False
False,self_hosted_gpu,contract_validity;evidence_match;groundedness;safety,engine_specific_issue;evidence_selection_failure;generation_contract_failure;groundedness_failure;model_capacity_or_instruction_following_issue;prompt_context_formatting_issue;safety_wording_failure,16,self_hosted_model3_7b_sglang_mm1_dense_top5_c16,sglang,0.71,contract_validity;evidence_match;groundedness;safety,4,0.8,self_hosted_gpu,0.71,1.0,2351.9834395014914,450.437493557505,54.27021854156685,470.80771946231835,mm1_dense_top5,model3_7b,Qwen/Qwen2.5-7B-Instruct,5,generation_contract_prompt_repair;retrieval_or_context_selection_repair;final_answer_safety_boundary_repair,citation_whitelist;context_compression;engine_switch;evidence_selector_repair;final_answer_contract_normalization;max_token_adjustment;safety_wording_cleanup;stronger_model_escalation,400,400,0,sglang,True,6,FAIL,FAIL,FAIL,PASS,PASS,FAIL,deployability_contextual,PASS,PASS,PASS,COMPLETED,0.0,344463,14745,0,True
