area,existing_artifact,current_capability,reusable,missing_piece,recommended_action,phase,priority
Model registry,configs/models.yaml,"Five Qwen/placeholder model entries with provider/model_id/parameter_count/dtype notes",yes,"Public model aliases and safe migration path","Add alias support or duplicate-key transition before renaming current keys",3,high
Default experiments,configs/experiments.yaml,"Mock backend experiments for six synthetic workloads at concurrency 1",yes,"Promoted dataset workloads and non-mock experiment configs","Keep for validation; add new Phase 3 workload configs separately",3,high
vLLM planned configs,configs/vllm_baseline_experiments.yaml,"OpenAI-compatible vLLM baseline plan for current synthetic workloads",yes,"Promoted dataset vLLM workload configs and backend metrics capture","Reuse command shape and output conventions",4,high
Stress plan,configs/stress_plan.yaml,"Scale levels, planned backends, optimizations, model roles, concurrency 1/4/8/16/32",yes,"Backend-specific run matrix and stop conditions","Use as seed for Phase 4/5 run manifests",4,high
Mock runner,src/inference_bench/runners/mock_runner.py,"Deterministic no-model benchmark rows",yes,"Context-aware mock workload validation","Reuse for schema tests before model runs",3,medium
HF runner,src/inference_bench/runners/hf_runner.py,"Local HF generation, tokenizer counts, optional streaming TTFT, CSV/JSONL outputs",yes,"Concurrency, checkpoint/resume, telemetry, promoted dataset eval integration","Use for local plumbing and small baseline",4,high
OpenAI-compatible runner,src/inference_bench/runners/openai_compatible_runner.py,"Single-request client for vLLM-style local server",yes,"Exact token counts, server metrics, run manifests","Reuse for vLLM smoke",4,high
OpenAI load runner,src/inference_bench/runners/openai_load_runner.py,"Async concurrency, chunking, checkpoint, resume, metadata JSON",yes,"Backend-native queue/batch/KV/prefix metrics and promoted dataset fields","Use as main client load runner",4,high
SGLang backend,configs/stress_plan.yaml,"Only planned as sglang_optional",no,"Runnable adapter and metrics ingestion","Add after vLLM schema is stable",5,medium
Result schema,src/inference_bench/schema.py,"Request latency/tokens/cost/success CSV fields",yes,"Context mode, retrieval mode, concurrency, queue/prefill/decode, telemetry IDs, eval fields","Extend rather than replace",4,high
Generation traces,src/inference_bench/output_records.py,"Prompt and generated text JSONL traces",yes,"Gold/evidence references and evaluation fields","Extend trace schema for Phase 3 eval",3,high
Summary/compare reporting,src/inference_bench/reporting/summary.py,"p50/p90/p95/p99 and aggregate summaries",yes,"Grouping by vertical/context/memory/backend/concurrency","Reuse with added grouping fields",5,medium
Phase 1 plots,src/inference_bench/reporting/phase1_plots.py,"Concurrency and throughput/latency plot patterns from sample artifacts",yes,"Phase 3-6 plot specs and dashboard","Reuse visual/reporting patterns",6,medium
System info,src/inference_bench/system_info.py,"Static platform/CPU/RAM/torch/CUDA metadata",yes,"Live GPU utilization/memory/power/temperature telemetry","Add telemetry sampler and run manifest",4,high
Structured quality,src/inference_bench/quality.py,"JSON parse and required-field validation",yes,"Gold correctness, groundedness, citation recall, safety boundary eval","Reuse as one evaluator component",3,high
Promoted dataset,data/scaleup_2000_full/,"10000 prompts, 10000 gold records, 4740 KB rows across five verticals",yes,"Inference workload JSONL generation and context packing","Build Phase 3 workload/context layer",3,high
Dataset EDA,data/generated/dataset_10000/,"Public dashboard, EDA reports, word visuals, workload shape",yes,"Direct connection to run matrix selection","Use workload-shape reports to stratify experiments",3,medium
Finance EDA,data/generated/finance/finance_eda.html,"Convenience entrypoint for finance-specific EDA",yes,"Finance-specific experiment slices","Use for finance workload and chunking design",3,medium
Research AI corpus,data/generated/phase2a/retrieval_corpus/research_ai/,"Full paper-section corpus export without embeddings/index",yes,"Corpus registry, retrieval index, recall evaluator","Use as Phase 3 Research AI retrieval input",3,high
Raw results,results/raw/,"HF/mock smoke outputs and generation traces",partial,"Promoted dataset inference results","Treat current files as harness validation",4,medium
Processed results,results/processed/,"HF comparison CSV",partial,"Main GPU comparison tables","Reuse output folder and compare-results pattern",5,medium
Sample vLLM artifacts,results/samples/,"Curated vLLM concurrency results, metadata, checkpoints, plots",yes,"New 10,000-record dataset runs","Use as artifact shape reference, not final Phase 5 data",5,medium
Results figures,results/figures/,"Smoke/early harness plots",partial,"Final inference figures","Keep documented as non-final until promoted runs exist",6,low
Cost metrics,src/inference_bench/metrics/cost.py,"Token-price cost estimate helper",partial,"GPU-hour infrastructure cost amortization","Add RunPod-style GPU cost fields and aggregates",5,medium
Memory metrics,src/inference_bench/metrics/memory.py,"Static model weight and KV cache memory estimates",partial,"Live memory and KV cache metrics","Reuse estimates and add telemetry/backend metrics",5,high
