split,ablation_mode,memory_mode,vertical,record_count,evidence_selector_strategy,exact_top5_count,avg_selected_evidence_count,duplicate_avoidance_applied_count,evidence_contract_valid_count,selection_reason_sample
controlled_2000,prompt_plus_metadata,mm0_no_context,airline,400,unavailable,0,0,400,400,
controlled_2000,prompt_plus_metadata,mm0_no_context,finance,400,unavailable,0,0,400,400,
controlled_2000,prompt_plus_metadata,mm0_no_context,healthcare_admin,400,unavailable,0,0,400,400,
controlled_2000,prompt_plus_metadata,mm0_no_context,research_ai,400,unavailable,0,0,400,400,
controlled_2000,prompt_plus_metadata,mm0_no_context,retail,400,unavailable,0,0,400,400,
controlled_2000,prompt_plus_metadata,mm1_dense_top5,airline,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
controlled_2000,prompt_plus_metadata,mm1_dense_top5,finance,400,finance_calibrated_top5,400,5,400,400,"company_or_ticker_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,metric_or_concept_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,metric_or_concept_match,section_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,section_match,title_overlap,metadata_overlap,finance_selector,metric_or_concept_match,section_match,title_overlap,metadata_overlap,finance_selector"
controlled_2000,prompt_plus_metadata,mm1_dense_top5,healthcare_admin,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
controlled_2000,prompt_plus_metadata,mm1_dense_top5,research_ai,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
controlled_2000,prompt_plus_metadata,mm1_dense_top5,retail,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
controlled_2000,prompt_plus_metadata,mm2_hybrid_top5,airline,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
controlled_2000,prompt_plus_metadata,mm2_hybrid_top5,finance,400,finance_calibrated_top5,400,5,400,400,"company_or_ticker_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,metric_or_concept_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,metric_or_concept_match,section_match,title_overlap,metadata_overlap,finance_selector,metric_or_concept_match,section_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,section_match,title_overlap,metadata_overlap,finance_selector"
controlled_2000,prompt_plus_metadata,mm2_hybrid_top5,healthcare_admin,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
controlled_2000,prompt_plus_metadata,mm2_hybrid_top5,research_ai,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
controlled_2000,prompt_plus_metadata,mm2_hybrid_top5,retail,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
controlled_2000,prompt_plus_metadata,mm3_compressed_hybrid_top5,airline,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
controlled_2000,prompt_plus_metadata,mm3_compressed_hybrid_top5,finance,400,finance_calibrated_top5,400,5,400,400,"company_or_ticker_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,metric_or_concept_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,metric_or_concept_match,section_match,title_overlap,metadata_overlap,finance_selector,metric_or_concept_match,section_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,section_match,title_overlap,metadata_overlap,finance_selector"
controlled_2000,prompt_plus_metadata,mm3_compressed_hybrid_top5,healthcare_admin,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
controlled_2000,prompt_plus_metadata,mm3_compressed_hybrid_top5,research_ai,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
controlled_2000,prompt_plus_metadata,mm3_compressed_hybrid_top5,retail,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
controlled_2000,prompt_plus_source_hints,mm0_no_context,airline,400,unavailable,0,0,400,400,
controlled_2000,prompt_plus_source_hints,mm0_no_context,finance,400,unavailable,0,0,400,400,
controlled_2000,prompt_plus_source_hints,mm0_no_context,healthcare_admin,400,unavailable,0,0,400,400,
controlled_2000,prompt_plus_source_hints,mm0_no_context,research_ai,400,unavailable,0,0,400,400,
controlled_2000,prompt_plus_source_hints,mm0_no_context,retail,400,unavailable,0,0,400,400,
controlled_2000,prompt_plus_source_hints,mm1_dense_top5,airline,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,metadata_overlap"
controlled_2000,prompt_plus_source_hints,mm1_dense_top5,finance,400,finance_calibrated_top5,400,5,400,400,"company_or_ticker_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector,company_or_ticker_match,metric_or_concept_match,section_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector,company_or_ticker_match,metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector,company_or_ticker_match,section_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector,metric_or_concept_match,section_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector"
controlled_2000,prompt_plus_source_hints,mm1_dense_top5,healthcare_admin,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,metadata_overlap,source_hint_match_assisted"
controlled_2000,prompt_plus_source_hints,mm1_dense_top5,research_ai,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,title_overlap,metadata_overlap"
controlled_2000,prompt_plus_source_hints,mm1_dense_top5,retail,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap,source_hint_match_assisted"
controlled_2000,prompt_plus_source_hints,mm2_hybrid_top5,airline,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
controlled_2000,prompt_plus_source_hints,mm2_hybrid_top5,finance,400,finance_calibrated_top5,400,5,400,400,"company_or_ticker_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector,company_or_ticker_match,metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector,company_or_ticker_match,metric_or_concept_match,section_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector,company_or_ticker_match,section_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector,metric_or_concept_match,section_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector"
controlled_2000,prompt_plus_source_hints,mm2_hybrid_top5,healthcare_admin,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,metadata_overlap,source_hint_match_assisted"
controlled_2000,prompt_plus_source_hints,mm2_hybrid_top5,research_ai,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,title_overlap,metadata_overlap"
controlled_2000,prompt_plus_source_hints,mm2_hybrid_top5,retail,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,metadata_overlap,source_hint_match_assisted"
controlled_2000,prompt_plus_source_hints,mm3_compressed_hybrid_top5,airline,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
controlled_2000,prompt_plus_source_hints,mm3_compressed_hybrid_top5,finance,400,finance_calibrated_top5,400,5,400,400,"company_or_ticker_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector,company_or_ticker_match,metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector,company_or_ticker_match,metric_or_concept_match,section_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector,company_or_ticker_match,section_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector,metric_or_concept_match,section_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector"
controlled_2000,prompt_plus_source_hints,mm3_compressed_hybrid_top5,healthcare_admin,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,metadata_overlap,source_hint_match_assisted"
controlled_2000,prompt_plus_source_hints,mm3_compressed_hybrid_top5,research_ai,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,title_overlap,metadata_overlap"
controlled_2000,prompt_plus_source_hints,mm3_compressed_hybrid_top5,retail,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,metadata_overlap,source_hint_match_assisted"
controlled_2000,prompt_text_only,mm0_no_context,airline,400,unavailable,0,0,400,400,
controlled_2000,prompt_text_only,mm0_no_context,finance,400,unavailable,0,0,400,400,
controlled_2000,prompt_text_only,mm0_no_context,healthcare_admin,400,unavailable,0,0,400,400,
controlled_2000,prompt_text_only,mm0_no_context,research_ai,400,unavailable,0,0,400,400,
controlled_2000,prompt_text_only,mm0_no_context,retail,400,unavailable,0,0,400,400,
controlled_2000,prompt_text_only,mm1_dense_top5,airline,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap,hybrid_score_rank"
controlled_2000,prompt_text_only,mm1_dense_top5,finance,400,finance_calibrated_top5,400,5,400,400,"company_or_ticker_match,title_overlap,metadata_overlap,finance_selector,metric_or_concept_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,metric_or_concept_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,metric_or_concept_match,section_match,title_overlap,metadata_overlap,finance_selector,metadata_overlap,finance_selector"
controlled_2000,prompt_text_only,mm1_dense_top5,healthcare_admin,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,hybrid_score_rank,metric_or_concept_match,metadata_overlap"
controlled_2000,prompt_text_only,mm1_dense_top5,research_ai,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap"
controlled_2000,prompt_text_only,mm1_dense_top5,retail,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap"
controlled_2000,prompt_text_only,mm2_hybrid_top5,airline,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap,hybrid_score_rank"
controlled_2000,prompt_text_only,mm2_hybrid_top5,finance,400,finance_calibrated_top5,400,5,400,400,"company_or_ticker_match,title_overlap,metadata_overlap,finance_selector,metric_or_concept_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,metric_or_concept_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,metric_or_concept_match,section_match,title_overlap,metadata_overlap,finance_selector,title_overlap,metadata_overlap,finance_selector"
controlled_2000,prompt_text_only,mm2_hybrid_top5,healthcare_admin,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,hybrid_score_rank,metric_or_concept_match,metadata_overlap"
controlled_2000,prompt_text_only,mm2_hybrid_top5,research_ai,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap"
controlled_2000,prompt_text_only,mm2_hybrid_top5,retail,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap,hybrid_score_rank"
controlled_2000,prompt_text_only,mm3_compressed_hybrid_top5,airline,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap,hybrid_score_rank"
controlled_2000,prompt_text_only,mm3_compressed_hybrid_top5,finance,400,finance_calibrated_top5,400,5,400,400,"company_or_ticker_match,title_overlap,metadata_overlap,finance_selector,metric_or_concept_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,metric_or_concept_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,metric_or_concept_match,section_match,title_overlap,metadata_overlap,finance_selector,title_overlap,metadata_overlap,finance_selector"
controlled_2000,prompt_text_only,mm3_compressed_hybrid_top5,healthcare_admin,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,hybrid_score_rank,metric_or_concept_match,metadata_overlap"
controlled_2000,prompt_text_only,mm3_compressed_hybrid_top5,research_ai,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap"
controlled_2000,prompt_text_only,mm3_compressed_hybrid_top5,retail,400,calibrated_top5,400,5,400,400,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap,hybrid_score_rank"
final_10000,prompt_plus_metadata,mm0_no_context,airline,2000,unavailable,0,0,2000,2000,
final_10000,prompt_plus_metadata,mm0_no_context,finance,2000,unavailable,0,0,2000,2000,
final_10000,prompt_plus_metadata,mm0_no_context,healthcare_admin,2000,unavailable,0,0,2000,2000,
final_10000,prompt_plus_metadata,mm0_no_context,research_ai,2000,unavailable,0,0,2000,2000,
final_10000,prompt_plus_metadata,mm0_no_context,retail,2000,unavailable,0,0,2000,2000,
final_10000,prompt_plus_metadata,mm1_dense_top5,airline,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
final_10000,prompt_plus_metadata,mm1_dense_top5,finance,2000,finance_calibrated_top5,2000,5,2000,2000,"company_or_ticker_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,metric_or_concept_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,metric_or_concept_match,section_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,section_match,title_overlap,metadata_overlap,finance_selector,metric_or_concept_match,section_match,title_overlap,metadata_overlap,finance_selector"
final_10000,prompt_plus_metadata,mm1_dense_top5,healthcare_admin,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
final_10000,prompt_plus_metadata,mm1_dense_top5,research_ai,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
final_10000,prompt_plus_metadata,mm1_dense_top5,retail,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
final_10000,prompt_plus_metadata,mm2_hybrid_top5,airline,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
final_10000,prompt_plus_metadata,mm2_hybrid_top5,finance,2000,finance_calibrated_top5,2000,5,2000,2000,"company_or_ticker_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,metric_or_concept_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,metric_or_concept_match,section_match,title_overlap,metadata_overlap,finance_selector,metric_or_concept_match,section_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,section_match,title_overlap,metadata_overlap,finance_selector"
final_10000,prompt_plus_metadata,mm2_hybrid_top5,healthcare_admin,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
final_10000,prompt_plus_metadata,mm2_hybrid_top5,research_ai,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
final_10000,prompt_plus_metadata,mm2_hybrid_top5,retail,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
final_10000,prompt_plus_metadata,mm3_compressed_hybrid_top5,airline,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
final_10000,prompt_plus_metadata,mm3_compressed_hybrid_top5,finance,2000,finance_calibrated_top5,2000,5,2000,2000,"company_or_ticker_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,metric_or_concept_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,metric_or_concept_match,section_match,title_overlap,metadata_overlap,finance_selector,metric_or_concept_match,section_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,section_match,title_overlap,metadata_overlap,finance_selector"
final_10000,prompt_plus_metadata,mm3_compressed_hybrid_top5,healthcare_admin,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
final_10000,prompt_plus_metadata,mm3_compressed_hybrid_top5,research_ai,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
final_10000,prompt_plus_metadata,mm3_compressed_hybrid_top5,retail,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
final_10000,prompt_plus_source_hints,mm0_no_context,airline,2000,unavailable,0,0,2000,2000,
final_10000,prompt_plus_source_hints,mm0_no_context,finance,2000,unavailable,0,0,2000,2000,
final_10000,prompt_plus_source_hints,mm0_no_context,healthcare_admin,2000,unavailable,0,0,2000,2000,
final_10000,prompt_plus_source_hints,mm0_no_context,research_ai,2000,unavailable,0,0,2000,2000,
final_10000,prompt_plus_source_hints,mm0_no_context,retail,2000,unavailable,0,0,2000,2000,
final_10000,prompt_plus_source_hints,mm1_dense_top5,airline,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,metadata_overlap"
final_10000,prompt_plus_source_hints,mm1_dense_top5,finance,2000,finance_calibrated_top5,2000,5,2000,2000,"company_or_ticker_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector,company_or_ticker_match,metric_or_concept_match,section_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector,company_or_ticker_match,metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector,company_or_ticker_match,section_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector,metric_or_concept_match,section_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector"
final_10000,prompt_plus_source_hints,mm1_dense_top5,healthcare_admin,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,metadata_overlap,source_hint_match_assisted"
final_10000,prompt_plus_source_hints,mm1_dense_top5,research_ai,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,title_overlap,metadata_overlap"
final_10000,prompt_plus_source_hints,mm1_dense_top5,retail,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap,source_hint_match_assisted"
final_10000,prompt_plus_source_hints,mm2_hybrid_top5,airline,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
final_10000,prompt_plus_source_hints,mm2_hybrid_top5,finance,2000,finance_calibrated_top5,2000,5,2000,2000,"company_or_ticker_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector,company_or_ticker_match,metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector,company_or_ticker_match,metric_or_concept_match,section_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector,company_or_ticker_match,section_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector,metric_or_concept_match,section_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector"
final_10000,prompt_plus_source_hints,mm2_hybrid_top5,healthcare_admin,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,metadata_overlap,source_hint_match_assisted"
final_10000,prompt_plus_source_hints,mm2_hybrid_top5,research_ai,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,title_overlap,metadata_overlap"
final_10000,prompt_plus_source_hints,mm2_hybrid_top5,retail,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,title_overlap,metadata_overlap"
final_10000,prompt_plus_source_hints,mm3_compressed_hybrid_top5,airline,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap"
final_10000,prompt_plus_source_hints,mm3_compressed_hybrid_top5,finance,2000,finance_calibrated_top5,2000,5,2000,2000,"company_or_ticker_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector,company_or_ticker_match,metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector,company_or_ticker_match,metric_or_concept_match,section_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector,company_or_ticker_match,section_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector,metric_or_concept_match,section_match,title_overlap,metadata_overlap,source_hint_match_assisted,finance_selector"
final_10000,prompt_plus_source_hints,mm3_compressed_hybrid_top5,healthcare_admin,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,metadata_overlap,source_hint_match_assisted"
final_10000,prompt_plus_source_hints,mm3_compressed_hybrid_top5,research_ai,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,title_overlap,metadata_overlap"
final_10000,prompt_plus_source_hints,mm3_compressed_hybrid_top5,retail,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,metadata_overlap,source_hint_match_assisted,metric_or_concept_match,title_overlap,metadata_overlap"
final_10000,prompt_text_only,mm0_no_context,airline,2000,unavailable,0,0,2000,2000,
final_10000,prompt_text_only,mm0_no_context,finance,2000,unavailable,0,0,2000,2000,
final_10000,prompt_text_only,mm0_no_context,healthcare_admin,2000,unavailable,0,0,2000,2000,
final_10000,prompt_text_only,mm0_no_context,research_ai,2000,unavailable,0,0,2000,2000,
final_10000,prompt_text_only,mm0_no_context,retail,2000,unavailable,0,0,2000,2000,
final_10000,prompt_text_only,mm1_dense_top5,airline,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,metric_or_concept_match,metadata_overlap,hybrid_score_rank"
final_10000,prompt_text_only,mm1_dense_top5,finance,2000,finance_calibrated_top5,2000,5,2000,2000,"company_or_ticker_match,title_overlap,metadata_overlap,finance_selector,metric_or_concept_match,title_overlap,metadata_overlap,finance_selector,company_or_ticker_match,metric_or_concept_match,title_overlap,metadata_overlap,finance_selector,metadata_overlap,finance_selector,title_overlap,metadata_overlap,finance_selector"
final_10000,prompt_text_only,mm1_dense_top5,healthcare_admin,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,hybrid_score_rank,metric_or_concept_match,metadata_overlap"
final_10000,prompt_text_only,mm1_dense_top5,research_ai,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap"
final_10000,prompt_text_only,mm1_dense_top5,retail,2000,calibrated_top5,2000,5,2000,2000,"metric_or_concept_match,title_overlap,metadata_overlap,hybrid_score_rank"
