metric,currently_available,source,implementation_needed,phase,priority
TTFT,partial,"src/inference_bench/metrics/latency.py; HF/OpenAI-compatible streaming result column ttft_ms","Keep streaming client TTFT, then add server-side queue/prefill/decode timestamps for GPU runs","2C","high"
TPOT,yes,"src/inference_bench/metrics/latency.py; result column tpot_ms","Validate with backend-native decode timing and exact tokenizer output counts","2C","high"
end_to_end_latency,yes,"BenchmarkResult.end_to_end_latency_ms; reporting summary percentiles","Carry into Phase 2B/2C result schema with context/retrieval metadata","2C","high"
throughput_requests_per_sec,partial,"openai_load_runner run metadata aggregate_requests_per_second","Add per-run and per-window throughput with aligned telemetry windows","2C","high"
throughput_tokens_per_sec,partial,"result column throughput_tokens_per_second; openai_load_runner aggregate_output_tokens_per_second","Separate prompt/prefill tokens/sec from decode tokens/sec","2C","high"
p50/p95/p99_latency,yes,"src/inference_bench/reporting/summary.py","Add grouped summaries by vertical, context mode, retrieval mode, backend, and concurrency","2C","high"
input_tokens,partial,"HF runner tokenizer counts; OpenAI-compatible runner whitespace counts; EDA estimated tokens","Use exact model tokenizer for all Phase 2B assembled prompts","2B","high"
output_tokens,partial,"HF tokenizer counts and OpenAI-compatible whitespace counts in result rows","Use exact model tokenizer or backend usage fields consistently","2C","high"
context_tokens,partial,"EDA workload shape estimates referenced KB tokens","Add assembled context token counts per prompt and context mode","2B","high"
queue_time,no,"Not currently captured","Capture server enqueue/dequeue or backend metrics for queue latency","2C","high"
batch_size,no,"Client concurrency exists but server batch size is missing","Capture backend scheduler iteration batch size and active sequence counts","2C","high"
concurrency,yes,"ExperimentConfig.concurrency; openai-load CLI; run metadata","Carry concurrency into every result row and run manifest","2C","high"
GPU_utilization,no,"System info captures CUDA availability only","Add nvidia-smi/DCGM/NVML sampling and timestamp alignment","2C","high"
GPU_memory_used,partial,"peak_memory_mb schema exists; memory estimate helpers exist; current rows usually blank","Add live GPU memory telemetry and backend memory snapshots","2C","high"
GPU_memory_headroom,no,"Not currently captured","Compute capacity minus used/reserved memory over time","2C","high"
power_draw,no,"Not currently captured","Add nvidia-smi/DCGM power sampling","2C","medium"
temperature,no,"Not currently captured","Add nvidia-smi/DCGM temperature sampling and throttling flags","2C","medium"
KV_cache_usage,no,"Only static KV cache estimate helper exists","Capture backend KV cache blocks/bytes used/free/evicted","2C","high"
KV_cache_hit_rate,no,"Not currently captured","Use backend metrics or instrumentation for cache reuse/hits","2C","medium"
prefix_cache_hit_rate,no,"Not currently captured","Enable prefix cache experiments and capture backend hit-rate metric","2C","medium"
estimated_MFU,no,"Not currently implemented","Add estimator using params, dtype, peak FLOPs, prompt tokens/sec, decode tokens/sec, and wall-clock window","2C","medium"
retrieval_recall_at_k,no,"No retrieval implementation or evaluator yet","Implement Phase 2B retrieval records and compare retrieved IDs against required evidence IDs","2B","high"
groundedness,no,"No generation-groundedness evaluator yet","Score generated answer claims/citations against selected context and gold evidence","2B","high"
format_validity,partial,"score_structured_jsonl validates JSON and required fields","Extend to expected_output_format across all promoted dataset tasks","2B","medium"
safety_violations,partial,"EDA scans source dataset safety/domain-boundary flags","Add generation-level safety/domain-boundary evaluator by vertical","2B","high"
cost_per_1000_requests,partial,"estimated_cost_usd field exists but local runs use 0.0","Add model/runtime pricing or GPU-hour amortization and aggregate by successful requests","2C","medium"
cost_per_1M_tokens,partial,"Token counts and estimated_cost_usd field exist","Add pricing/GPU cost model and exact token accounting","2C","medium"
cost_per_successful_answer,no,"Not currently calculated","Combine success/eval pass/failure status with run cost and quality scores","2C","medium"
