split,ablation_mode,memory_mode,vertical,record_count,recall_at_5,mrr,failure_count,candidate_recall_at_50,candidate_recall_at_100,candidate_recall_at_200,candidate_diagnostic_max_k_available,gold_in_top50_but_not_top5_rate,gold_in_top100_but_not_top5_rate,gold_absent_from_top100_rate,gold_in_candidate_pool_count,reranker_rescued_gold_count,query_enrichment_used,reranking_used,source_hints_used,top_failure_reasons
controlled_2000,prompt_plus_metadata,mm0_no_context,airline,400,0.0,0.0,400,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,True,False,False,{}
controlled_2000,prompt_plus_metadata,mm0_no_context,finance,400,0.0,0.0,400,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,True,False,False,{}
controlled_2000,prompt_plus_metadata,mm0_no_context,healthcare_admin,400,0.0,0.0,400,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,True,False,False,{}
controlled_2000,prompt_plus_metadata,mm0_no_context,research_ai,400,0.0,0.0,400,0.0,0.0,0.0,0,0.0,0.0,0.98,0,0,True,False,False,{}
controlled_2000,prompt_plus_metadata,mm0_no_context,retail,400,0.0,0.0,400,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,True,False,False,{}
controlled_2000,prompt_plus_metadata,mm1_dense_top5,airline,400,0.5575,0.783333,284,0.630417,0.630417,0.630417,50,0.07,0.07,0.0875,365,136,True,True,False,"{""gold_in_top50_not_top5"": 249, ""gold_not_in_candidate_pool"": 35, ""poor_scoring"": 284}"
controlled_2000,prompt_plus_metadata,mm1_dense_top5,finance,400,0.201875,0.110333,325,0.769375,0.769375,0.769375,50,0.5825,0.5825,0.2,320,35,True,True,False,"{""gold_in_top50_not_top5"": 245, ""gold_not_in_candidate_pool"": 80, ""missed_finance_metric"": 250, ""missed_period"": 325, ""poor_scoring"": 325}"
controlled_2000,prompt_plus_metadata,mm1_dense_top5,healthcare_admin,400,0.71375,0.829083,181,0.75,0.75,0.75,50,0.0275,0.0275,0.0875,365,74,True,True,False,"{""gold_in_top50_not_top5"": 146, ""gold_not_in_candidate_pool"": 35, ""poor_scoring"": 181}"
controlled_2000,prompt_plus_metadata,mm1_dense_top5,research_ai,400,0.646694,0.613792,188,0.863867,0.863867,0.863867,50,0.165,0.165,0.0725,363,6,True,True,False,"{""chunk_too_broad"": 1, ""gold_in_top50_not_top5"": 151, ""gold_not_in_candidate_pool"": 29, ""poor_scoring"": 180}"
controlled_2000,prompt_plus_metadata,mm1_dense_top5,retail,400,0.296667,0.32375,297,0.861667,0.861667,0.861667,50,0.6275,0.6275,0.035,386,6,True,True,False,"{""gold_in_top50_not_top5"": 283, ""gold_not_in_candidate_pool"": 14, ""poor_scoring"": 297}"
controlled_2000,prompt_plus_metadata,mm2_hybrid_top5,airline,400,0.706042,0.93625,230,0.764375,0.764375,0.764375,50,0.0125,0.0125,0.0,400,28,True,True,False,"{""gold_in_top50_not_top5"": 230, ""poor_scoring"": 230}"
controlled_2000,prompt_plus_metadata,mm2_hybrid_top5,finance,400,0.266875,0.1635,302,0.83125,0.83125,0.83125,50,0.565,0.565,0.145,342,74,True,True,False,"{""gold_in_top50_not_top5"": 244, ""gold_not_in_candidate_pool"": 58, ""missed_finance_metric"": 237, ""missed_period"": 302, ""poor_scoring"": 302}"
controlled_2000,prompt_plus_metadata,mm2_hybrid_top5,healthcare_admin,400,0.789583,0.935292,156,0.813333,0.813333,0.813333,50,0.0,0.0,0.01,396,23,True,True,False,"{""gold_in_top50_not_top5"": 152, ""gold_not_in_candidate_pool"": 4, ""poor_scoring"": 156}"
controlled_2000,prompt_plus_metadata,mm2_hybrid_top5,research_ai,400,0.645117,0.616708,190,0.881857,0.881857,0.881857,50,0.17,0.17,0.06,368,14,True,True,False,"{""chunk_too_broad"": 4, ""gold_in_top50_not_top5"": 158, ""gold_not_in_candidate_pool"": 24, ""poor_scoring"": 182}"
controlled_2000,prompt_plus_metadata,mm2_hybrid_top5,retail,400,0.312083,0.33625,290,0.914583,0.914583,0.914583,50,0.65,0.65,0.0025,399,7,True,True,False,"{""gold_in_top50_not_top5"": 289, ""gold_not_in_candidate_pool"": 1, ""poor_scoring"": 290}"
controlled_2000,prompt_plus_metadata,mm3_compressed_hybrid_top5,airline,400,0.706042,0.93625,230,0.764375,0.764375,0.764375,50,0.0125,0.0125,0.0,400,28,True,True,False,"{""gold_in_top50_not_top5"": 230, ""poor_scoring"": 230}"
controlled_2000,prompt_plus_metadata,mm3_compressed_hybrid_top5,finance,400,0.266875,0.1635,302,0.83125,0.83125,0.83125,50,0.565,0.565,0.145,342,74,True,True,False,"{""gold_in_top50_not_top5"": 244, ""gold_not_in_candidate_pool"": 58, ""missed_finance_metric"": 237, ""missed_period"": 302, ""poor_scoring"": 302}"
controlled_2000,prompt_plus_metadata,mm3_compressed_hybrid_top5,healthcare_admin,400,0.789583,0.935292,156,0.813333,0.813333,0.813333,50,0.0,0.0,0.01,396,23,True,True,False,"{""gold_in_top50_not_top5"": 152, ""gold_not_in_candidate_pool"": 4, ""poor_scoring"": 156}"
controlled_2000,prompt_plus_metadata,mm3_compressed_hybrid_top5,research_ai,400,0.645117,0.616708,190,0.881857,0.881857,0.881857,50,0.17,0.17,0.06,368,14,True,True,False,"{""gold_in_top50_not_top5"": 158, ""gold_not_in_candidate_pool"": 24, ""poor_scoring"": 182}"
controlled_2000,prompt_plus_metadata,mm3_compressed_hybrid_top5,retail,400,0.312083,0.33625,290,0.914583,0.914583,0.914583,50,0.65,0.65,0.0025,399,7,True,True,False,"{""gold_in_top50_not_top5"": 289, ""gold_not_in_candidate_pool"": 1, ""poor_scoring"": 290}"
controlled_2000,prompt_plus_source_hints,mm0_no_context,airline,400,0.0,0.0,400,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,True,False,True,{}
controlled_2000,prompt_plus_source_hints,mm0_no_context,finance,400,0.0,0.0,400,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,True,False,True,{}
controlled_2000,prompt_plus_source_hints,mm0_no_context,healthcare_admin,400,0.0,0.0,400,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,True,False,True,{}
controlled_2000,prompt_plus_source_hints,mm0_no_context,research_ai,400,0.0,0.0,400,0.0,0.0,0.0,0,0.0,0.0,0.98,0,0,True,False,True,{}
controlled_2000,prompt_plus_source_hints,mm0_no_context,retail,400,0.0,0.0,400,0.0,0.0,0.0,0,0.0,0.0,1.0,0,0,True,False,True,{}
controlled_2000,prompt_plus_source_hints,mm1_dense_top5,airline,400,0.820208,0.980833,155,0.833125,0.833125,0.833125,50,0.0,0.0,0.0125,395,97,True,True,True,"{""gold_in_top50_not_top5"": 150, ""gold_not_in_candidate_pool"": 5, ""poor_scoring"": 155}"
controlled_2000,prompt_plus_source_hints,mm1_dense_top5,finance,400,0.83375,0.850833,76,0.83375,0.83375,0.83375,50,0.0,0.0,0.1425,343,161,True,True,True,"{""gold_in_top50_not_top5"": 19, ""gold_not_in_candidate_pool"": 57, ""missed_finance_metric"": 28, ""missed_period"": 76, ""poor_scoring"": 76}"
controlled_2000,prompt_plus_source_hints,mm1_dense_top5,healthcare_admin,400,0.768333,0.876917,153,0.77875,0.77875,0.77875,50,0.0125,0.0125,0.065,374,85,True,True,True,"{""gold_in_top50_not_top5"": 127, ""gold_not_in_candidate_pool"": 26, ""poor_scoring"": 153}"
controlled_2000,prompt_plus_source_hints,mm1_dense_top5,research_ai,400,0.96438,0.98,29,0.971306,0.971306,0.971306,50,0.0,0.0,0.0,392,4,True,True,True,"{""gold_in_top50_not_top5"": 21, ""poor_scoring"": 21}"
