split,ablation_mode,memory_mode,record_count,airline,healthcare_admin,retail,finance,research_ai,output_path,validated
smoke_500,prompt_text_only,mm0_no_context,500,100,100,100,100,100,data\workloads\smoke_500\prompt_text_only\mm0_no_context.jsonl,True
smoke_500,prompt_text_only,mm1_dense_top5,500,100,100,100,100,100,data\workloads\smoke_500\prompt_text_only\mm1_dense_top5.jsonl,True
smoke_500,prompt_text_only,mm2_hybrid_top5,500,100,100,100,100,100,data\workloads\smoke_500\prompt_text_only\mm2_hybrid_top5.jsonl,True
smoke_500,prompt_text_only,mm3_compressed_hybrid_top5,500,100,100,100,100,100,data\workloads\smoke_500\prompt_text_only\mm3_compressed_hybrid_top5.jsonl,True
smoke_500,prompt_plus_metadata,mm0_no_context,500,100,100,100,100,100,data\workloads\smoke_500\prompt_plus_metadata\mm0_no_context.jsonl,True
smoke_500,prompt_plus_metadata,mm1_dense_top5,500,100,100,100,100,100,data\workloads\smoke_500\prompt_plus_metadata\mm1_dense_top5.jsonl,True
smoke_500,prompt_plus_metadata,mm2_hybrid_top5,500,100,100,100,100,100,data\workloads\smoke_500\prompt_plus_metadata\mm2_hybrid_top5.jsonl,True
smoke_500,prompt_plus_metadata,mm3_compressed_hybrid_top5,500,100,100,100,100,100,data\workloads\smoke_500\prompt_plus_metadata\mm3_compressed_hybrid_top5.jsonl,True
smoke_500,prompt_plus_source_hints,mm0_no_context,500,100,100,100,100,100,data\workloads\smoke_500\prompt_plus_source_hints\mm0_no_context.jsonl,True
smoke_500,prompt_plus_source_hints,mm1_dense_top5,500,100,100,100,100,100,data\workloads\smoke_500\prompt_plus_source_hints\mm1_dense_top5.jsonl,True
smoke_500,prompt_plus_source_hints,mm2_hybrid_top5,500,100,100,100,100,100,data\workloads\smoke_500\prompt_plus_source_hints\mm2_hybrid_top5.jsonl,True
smoke_500,prompt_plus_source_hints,mm3_compressed_hybrid_top5,500,100,100,100,100,100,data\workloads\smoke_500\prompt_plus_source_hints\mm3_compressed_hybrid_top5.jsonl,True
