optimization_id,display_name,optimization_domain,difficulty_tier,instrumentation_readiness_state,required_field_count,currently_available_field_count,missing_field_count,external_profiler_required,requires_gpu_to_measure_effect,can_be_shown_in_public_ui
cache_workload_aware_routing,Cache-aware/workload-aware routing,routing,1,requires_runner_instrumentation,17,3,3,False,True,True
chunked_prefill_tuning,Chunked-prefill tuning,prefill_decode_balance,1,requires_engine_metrics,16,2,3,False,True,True
distributed_capacity_serving_architecture,Distributed capacity and serving architecture,distributed_serving,4,future_architecture,8,1,3,False,True,True
kv_cache_capacity_allocation_tuning,KV-cache capacity/allocation tuning,kv_cache,1,requires_engine_metrics,19,2,3,False,True,True
kv_cache_offloading_hierarchical_cache,KV-cache offloading / hierarchical caching,cache_offloading,3,future_architecture,4,1,1,False,True,True
manual_kernel_compiler_optimization,Manual kernel/compiler optimization,kernel_compiler,3,requires_external_profiler,6,1,1,True,True,True
model_compression,Model compression,model_compression,3,future_architecture,3,1,1,False,True,True
model_selection_routing,Model selection and routing,model_selection,2,requires_runner_instrumentation,14,2,2,False,True,True
multi_gpu_parallelism,Multi-GPU parallelism,parallelism,3,unsupported_current_runtime,5,1,2,True,True,True
prefill_decode_disaggregation,Prefill/decode disaggregation,disaggregation,4,future_architecture,6,1,1,True,True,True
prefix_cache_verification_tuning,Prefix-cache verification and tuning,prefix_cache,1,requires_engine_metrics,21,2,3,False,True,True
prompt_prefix_layout_optimization,Prompt and prefix-layout optimization,prompt_workload,1,ready_derivable,14,3,1,False,False,True
quantization,Quantization,quantization,2,requires_runner_instrumentation,27,2,3,False,True,True
scheduler_batch_tuning,Scheduler and batch tuning,scheduler_batching,1,requires_runner_instrumentation,21,3,3,False,True,True
speculative_decoding,Speculative decoding,speculative_decoding,2,unsupported_current_runtime,19,1,3,False,True,True
