split,ablation_mode,memory_mode,vertical,record_count,failure_count,recall_at_5,mrr,candidate_recall_at_100,candidate_vs_final_recall_gap,primary_root_cause,primary_root_cause_count,root_cause_counts_json,recommended_fix_area,top_recommended_fix,candidate_retrieval_blocker,reranking_blocker,prompt_gold_repair_required,slo_target,slo_margin,slo_status
final_10000,prompt_plus_metadata,mm1_dense_top5,airline,2000,1437,0.547667,0.778,0.622542,0.074875,weak_dense_similarity,1288,"{""gold_absent_from_candidate_pool"": 190, ""gold_in_candidates_not_final_top5"": 149, ""weak_dense_similarity"": 1288}",embedding model/vector index,Improve embedding/indexed text and lexical expansion for strict ablation modes.,True,False,False,0.8,-0.252333,FAILED
final_10000,prompt_plus_metadata,mm1_dense_top5,finance,2000,1621,0.205375,0.1128,0.777,0.571625,prompt_missing_period,1621,"{""gold_absent_from_candidate_pool"": 394, ""gold_in_candidates_not_final_top5"": 1162, ""prompt_missing_metric"": 1621, ""prompt_missing_period"": 1621, ""reranker_miscalibrated"": 1162}",prompt/gold repair,"Repair prompt/gold metadata so strict retrieval has visible entity, metric, and period cues.",False,True,True,0.8,-0.594625,FAILED
final_10000,prompt_plus_metadata,mm1_dense_top5,healthcare_admin,2000,879,0.721083,0.829375,0.754083,0.033,gold_absent_from_candidate_pool,174,"{""gold_absent_from_candidate_pool"": 174, ""gold_in_candidates_not_final_top5"": 50}",candidate retrieval,"Improve candidate retrieval, indexing, and chunking before final selector work.",True,False,False,0.8,-0.078917,FAILED
final_10000,prompt_plus_metadata,mm1_dense_top5,research_ai,2000,928,0.647968,0.616158,0.851523,0.203555,gold_in_candidates_not_final_top5,292,"{""gold_absent_from_candidate_pool"": 179, ""gold_in_candidates_not_final_top5"": 292}",reranking/final selection,Tune reranking and final top-5 evidence selection using candidate-window diagnostics.,False,True,False,0.8,-0.152032,FAILED
final_10000,prompt_plus_metadata,mm1_dense_top5,retail,2000,1659,0.210417,0.244917,0.891667,0.68125,gold_in_candidates_not_final_top5,1476,"{""gold_absent_from_candidate_pool"": 19, ""gold_in_candidates_not_final_top5"": 1476, ""reranker_miscalibrated"": 1476}",reranking/final selection,Tune reranking and final top-5 evidence selection using candidate-window diagnostics.,False,True,False,0.8,-0.589583,FAILED
final_10000,prompt_plus_metadata,mm2_hybrid_top5,airline,2000,1148,0.7065,0.936125,0.761042,0.054542,gold_in_candidates_not_final_top5,29,"{""gold_in_candidates_not_final_top5"": 29}",reranking/final selection,Tune reranking and final top-5 evidence selection using candidate-window diagnostics.,False,True,False,0.8,-0.0935,FAILED
final_10000,prompt_plus_metadata,mm2_hybrid_top5,finance,2000,1478,0.28075,0.174333,0.82075,0.54,prompt_missing_period,1478,"{""gold_absent_from_candidate_pool"": 306, ""gold_in_candidates_not_final_top5"": 1091, ""prompt_missing_metric"": 1478, ""prompt_missing_period"": 1478, ""reranker_miscalibrated"": 1091}",prompt/gold repair,"Repair prompt/gold metadata so strict retrieval has visible entity, metric, and period cues.",False,True,True,0.8,-0.51925,FAILED
final_10000,prompt_plus_metadata,mm2_hybrid_top5,healthcare_admin,2000,761,0.794333,0.936125,0.816333,0.022,gold_absent_from_candidate_pool,16,"{""gold_absent_from_candidate_pool"": 16, ""gold_in_candidates_not_final_top5"": 4}",candidate retrieval,"Improve candidate retrieval, indexing, and chunking before final selector work.",True,False,False,0.8,-0.005667,FAILED
final_10000,prompt_plus_metadata,mm2_hybrid_top5,research_ai,2000,950,0.641715,0.618225,0.866486,0.224771,gold_in_candidates_not_final_top5,315,"{""gold_absent_from_candidate_pool"": 152, ""gold_in_candidates_not_final_top5"": 315}",reranking/final selection,Tune reranking and final top-5 evidence selection using candidate-window diagnostics.,False,True,False,0.8,-0.158285,FAILED
final_10000,prompt_plus_metadata,mm2_hybrid_top5,retail,2000,1626,0.221583,0.248417,0.924667,0.703084,gold_in_candidates_not_final_top5,1488,"{""gold_absent_from_candidate_pool"": 2, ""gold_in_candidates_not_final_top5"": 1488, ""reranker_miscalibrated"": 1488}",reranking/final selection,Tune reranking and final top-5 evidence selection using candidate-window diagnostics.,False,True,False,0.8,-0.578417,FAILED
