config_file,object_type,key,model_or_backend_id,current_role,proposed_public_key_or_alias,breaking_change_risk,files_to_update
configs/models.yaml,model,qwen2_5_0_5b_instruct,Qwen/Qwen2.5-0.5B-Instruct,local smoke/dev model,model1_0_5b,high if renamed without alias,"configs/models.yaml; configs/experiments.yaml; configs/vllm_baseline_experiments.yaml; configs/stress_plan.yaml; tests/test_config.py; docs"
configs/models.yaml,model,qwen2_5_1_5b_instruct,Qwen/Qwen2.5-1.5B-Instruct,small baseline candidate,model2_1_5b,medium if renamed without alias,"configs/models.yaml; configs/stress_plan.yaml; docs"
configs/models.yaml,model,qwen2_5_7b_instruct,Qwen/Qwen2.5-7B-Instruct,first serious GPU candidate,model3_7b,high if renamed without alias,"configs/models.yaml; configs/stress_plan.yaml; tests/test_config.py; docs"
configs/models.yaml,model,qwen2_5_32b_instruct,Qwen/Qwen2.5-32B-Instruct,later scale comparison candidate,model4_32b,high if renamed without alias,"configs/models.yaml; configs/stress_plan.yaml; tests/test_config.py; docs"
configs/models.yaml,model,large_model_placeholder,placeholder/large-model,future large-model planning placeholder,model5_large_placeholder,medium if renamed without alias,"configs/models.yaml; configs/stress_plan.yaml; tests/test_config.py; docs"
configs/experiments.yaml,backend,mock,mock,active default no-model backend,keep mock,low,"future Phase 3 configs only"
src/inference_bench/runners/hf_runner.py,backend,huggingface,huggingface local transformers,local HF baseline runner,keep hf baseline,low,"future CLI/config additions for promoted dataset"
src/inference_bench/runners/openai_compatible_runner.py,backend,openai_compatible,http://localhost:8000/v1,single-request vLLM-style client,keep openai_compatible,low,"future exact-token and manifest additions"
src/inference_bench/runners/openai_load_runner.py,backend,vllm via OpenAI-compatible,http://localhost:8000/v1,async concurrent load runner,keep vllm label for vLLM runs,low,"future metrics and manifest additions"
configs/stress_plan.yaml,backend,sglang_optional,sglang,planned optional backend only,sglang,medium,"add dependency/config/runner/tests/docs later"
configs/stress_plan.yaml,concurrency_grid,"1;4;8;16;32",client concurrency,planned stress/load levels,keep grid,low,"future Phase 4/5 run matrix"
configs/experiments.yaml,experiment,mock_smoke,qwen2_5_0_5b_instruct,active config validation smoke,model1_0_5b after alias support,high if alias absent,"configs/experiments.yaml; tests/test_config.py"
configs/vllm_baseline_experiments.yaml,experiment,vllm_smoke,qwen2_5_0_5b_instruct,planned vLLM smoke,model1_0_5b after alias support,high if alias absent,"configs/vllm_baseline_experiments.yaml; docs"
configs/stress_plan.yaml,model_role,local_smoke,qwen2_5_0_5b_instruct,local smoke role,model1_0_5b,medium,"configs/stress_plan.yaml; docs"
configs/stress_plan.yaml,model_role,small_baseline,qwen2_5_1_5b_instruct,small baseline role,model2_1_5b,medium,"configs/stress_plan.yaml; docs"
configs/stress_plan.yaml,model_role,first_gpu_benchmark,qwen2_5_7b_instruct,first serious GPU role,model3_7b,medium,"configs/stress_plan.yaml; docs"
configs/stress_plan.yaml,model_role,scale_comparison,qwen2_5_32b_instruct,scale comparison role,model4_32b,medium,"configs/stress_plan.yaml; docs"
configs/stress_plan.yaml,model_role,large_placeholder,large_model_placeholder,future large model role,model5_large_placeholder,medium,"configs/stress_plan.yaml; docs"
